ลำดับ,ATC,หมวดหมู่,ชื่อที่สั่ง,ชื่อยาในฐานข้อมูล,ความแรง,หน่วย,จำนวน,แหล่ง,ความมั่นใจ,สถานะ,หมายเหตุ
1,,อื่นๆ,Antazallerge 10ml,ANTAZALLERGE R EYE DROPS 10ml,10ml,ก.1ขวด,1,SP,85%,✅,
2,,อื่นๆ,OPLUS SYRUP120ml,BRONAL SYRUP 120ml,120ml,ก.1ขวด,1,SP,81%,✅,
3,,อื่นๆ,Mefamed500mg25x10เม็ด,MEFAMED ้อ 500mg 25x10s,500mg,ก.25แผง,1,SP,85%,✅,
4,A01,ยาบําบัดอาการในชอ,m16 ที่อุดฟัน,่ งปาก ลําคอ M16 PATAR 75 FOR TOOTHACHE ตราปื น 3cc มีโปซอเยอะื,,ก.1ขวด,1,SP,92%,✅,
5,A11,อาหารเสริม / สมุนไพรสตรี,ยาสมุนไพรคุณส้มฤทธิ์รากสามสิบ 60 แคปซูล,รากสามสิบ ตราคุณสัมฤทธิ์ (Samsib) 60 capsules,Asparagus racemosus extract,กระปุก,1,🌐 verified,88%,✅,อาหารเสริมสมุนไพรสตรี ปรับสมดุลฮอร์โมน ลดปวดประจำเดือน ลดตกขาว
6,C02,ยาลดความดันโลหิตสูง,SAMBEE100x10s,AMBES-10 10x10s,,ก.10แผง,1,SP,86%,✅,
7,D01,ยาต ้านเชอราที,TONAF1%แดง15g,ผิวหนัง TONAF 1% CREAM 15g แดง,15g,ก.1หลอด,1,SP,85%,✅,
8,D01,ยาต ้านเชอราที ื,TONAF2%เขียว15g,ผิวหนัง TONAF 2% CREAM 15g เขียว,15g,ก.1หลอด,1,SP,85%,✅,
9,D07,ยาสเตียรอยด์ใชในโรคผิวหนั ง,ทีวีโลชั่น 60 mi,T.V. LONE LOTION 60ml,60ml,ก.1ขวด,1,SP,95%,✅,
10,D07,ยาสเตียรอยด์ใชในโรคผิ,DERMAHEUครีม15g,วหนั ง DERMAHEU CREAM 15g,15g,ก.1หลอด,1,SP,82%,✅,
11,D07,ยาสเตียรอยด์ใชในโรคผิ้,DERMAHEUครีม25g,วหนั ง DERMAHEU CREAM 25g,25g,ก.1หลอด,1,SP,82%,✅,
12,D07,ยาสเตียรอยด์ใชในโรคผิ,TACINOL 0.1 15g,วหนั ง TACINOL CREAM 0.1% 15g,15g,ก.1หลอด,1,SP,85%,✅,
13,D08,ยาแอนติเซพติค / แอลกอฮอล์,แอลกอฮอล์ศิริบัญชา 70% 60 cc,แอลกอฮอล์ศิริบัญชา 70% 60ml,Ethyl Alcohol 70%,ขวด,1,🌐 verified,93%,✅,ขวดเล็ก 60ml มีจริง — SP มีแค่ 180ml และ 1000ml สั่งออนไลน์ได้ ไม่ค่อยมีชั้นวางร้านยา
14,G03,ฮอร์โมนเพศ / ยาคุมกำเนิด,ยาคุมดิออร์รา28เม็ด,Diora 28 ดิออร์รา 28เม็ด,Ethinyl estradiol 0.03mg + Levonorgestrel 0.15mg,ก.1แผง,1,🌐 verified,100%,✅,ชื่อที่ถูกต้องคือ Diora (ไม่ใช่ Diorra) มีทั้ง Diora 21 (21เม็ด) และ Diora 28 (28เม็ด)
15,G03,ฮอร์โมนเพศ / ยาคุมกำเนิด,ยาคุมมาร์นอน28เม็ด,ยาคุม MARVELON 28s,Desogestrel 0.15mg + Ethinylestradiol 0.02mg,ก.1แผง,1,🌐 verified,91%,✅,SP มี MARVELON 28s บ ขาด — ตรวจสอบสต็อกก่อนสั่ง
